Flight No,Origin,Destination,Date,Time,First Name,Last Name,Sex,SeatNo,DateofBirth,DoBValidation,PersonValidation,LuggageValidation,NameValidation,BoardingPassValidation
UA-123,Abuja,Lagos,14 May 2022,10:00,Paul,Owoicho,M,3B,7 July 1973,FALSE,FALSE,FALSE,FALSE,FALSE
UA-123,Abuja,Lagos,14 May 2022,10:00,Dana,Rossini,F,9B,24 February 1974,FALSE,FALSE,FALSE,FALSE,FALSE
UA-123,Abuja,Lagos,14 May 2022,10:00,Arden,McCauley,M,5C,23 February 1990,FALSE,FALSE,FALSE,FALSE,FALSE
UA-123,Abuja,Lagos,14 May 2022,10:00,Ríghnach,Addicks,M,6D,2 April 1987,FALSE,FALSE,FALSE,FALSE,FALSE
UA-123,Abuja,Lagos,14 May 2022,10:00,Kleio,Mohammed,M,10E,28 July 1998,FALSE,FALSE,FALSE,FALSE,FALSE
UA-123,Abuja,Lagos,14 May 2022,10:00,Tertius,Griffin,M,3A,19 December 1989,FALSE,FALSE,FALSE,FALSE,FALSE
UA-123,Abuja,Lagos,14 May 2022,10:00,Gudfridr,McNiel,F,1C,1 March 1994,FALSE,FALSE,FALSE,FALSE,FALSE
UA-123,Abuja,Lagos,14 May 2022,10:00,Münire,Beasley,F,10D,1 March 1994,FALSE,FALSE,FALSE,FALSE,FALSE
UA-123,Abuja,Lagos,14 May 2022,10:00,Ariadne,Gage,F,6B,25 July 1999,FALSE,FALSE,FALSE,FALSE,FALSE
UA-123,Abuja,Lagos,14 May 2022,10:00,Nisanur,Dragov,M,5B,26 January 2000,FALSE,FALSE,FALSE,FALSE,FALSE
