Flight No,Origin,Destination,Date,Time,First Name,Last Name,Sex,SeatNo,DateofBirth,DoBValidation,PersonValidation,LuggageValidation,NameValidation,BoardingPassValidation
UA-123,Abuja,Lagos,14 May 2022,10:00,Paul,Owoicho,M,3B,7 July 1973,True,False,True,True,True
UA-123,Abuja,Lagos,14 May 2022,10:00,Dana,Rossini,F,9B,24 February 1974,True,False,False,True,False
UA-123,Abuja,Lagos,14 May 2022,10:00,Arden,McCauley,M,5C,23 February 1990,True,False,False,True,True
UA-123,Abuja,Lagos,14 May 2022,10:00,Ríghnach,Addicks,M,6D,2 April 1987,False,False,False,False,False
UA-123,Abuja,Lagos,14 May 2022,10:00,Kleio,Mohammed,M,10E,28 July 1998,True,False,False,True,True
UA-123,Abuja,Lagos,14 May 2022,10:00,Tertius,Griffin,M,3A,19 December 1989,True,False,False,True,True
UA-123,Abuja,Lagos,14 May 2022,10:00,Gudfridr,McNiel,F,1C,1 March 1994,True,False,False,False,True
UA-123,Abuja,Lagos,14 May 2022,10:00,Münire,Beasley,F,10D,1 March 1994,True,False,False,True,True
UA-123,Abuja,Lagos,14 May 2022,10:00,Ariadne,Gage,F,6B,25 July 1999,True,False,False,True,True
UA-123,Abuja,Lagos,14 May 2022,10:00,Nisanur,Dragov,M,5B,26 January 2000,False,False,False,True,True
